,body_mass_g
321,5600.0
265,4900.0
36,3950.0
308,4875.0
191,4500.0
173,3400.0
240,5700.0
341,5750.0
151,4000.0
65,3950.0
125,4000.0
20,3400.0
7,4675.0
215,4000.0
99,4100.0
35,4150.0
27,3200.0
292,5100.0
302,4725.0
62,3600.0
181,4550.0
15,3700.0
231,5550.0
233,5850.0
87,3500.0
159,3750.0
44,3000.0
318,4625.0
110,3825.0
161,3700.0
199,4300.0
164,3700.0
130,3325.0
234,4200.0
72,3550.0
216,3400.0
23,3950.0
202,3325.0
274,4900.0
145,3650.0
24,3800.0
338,4925.0
98,2900.0
85,3550.0
75,4250.0
214,3650.0
102,3075.0
103,4250.0
204,3600.0
74,3700.0
28,3150.0
42,3100.0
253,6050.0
73,4150.0
273,5000.0
150,3700.0
131,3500.0
227,5200.0
92,3400.0
290,4750.0
158,3250.0
291,5000.0
154,3650.0
299,5950.0
245,5100.0
228,4400.0
163,3775.0
225,4550.0
135,3900.0
43,4400.0
243,5050.0
209,4050.0
171,4400.0
118,3350.0
208,3250.0
200,3250.0
123,3875.0
327,5500.0
330,5000.0
310,4950.0
170,3450.0
229,5150.0
232,4650.0
160,4150.0
237,6300.0
2,3250.0
121,3500.0
179,3800.0
279,5550.0
126,3275.0
326,4700.0
297,6000.0
133,4475.0
80,3200.0
34,3325.0
89,3600.0
284,4700.0
113,4275.0
189,4800.0
287,5800.0
139,4250.0
190,2700.0
238,4800.0
50,3500.0
315,5200.0
71,3900.0
300,4625.0
91,4300.0
192,3950.0
76,3700.0
165,4050.0
17,4500.0
40,3150.0
33,3900.0
176,3300.0
148,3450.0
251,4700.0
137,3975.0
275,5050.0
57,3800.0
101,4725.0
261,5700.0
184,3350.0
210,3800.0
129,4000.0
46,3425.0
95,4300.0
267,5400.0
212,3950.0
142,3050.0
31,3900.0
335,5850.0
147,3475.0
252,5050.0
0,3750.0
307,5300.0
294,4700.0
311,5400.0
106,3750.0
198,3400.0
295,5800.0
224,5400.0
219,3775.0
109,4775.0
177,4150.0
104,2925.0
41,3900.0
262,4300.0
67,4100.0
156,3725.0
53,4050.0
254,5150.0
322,4975.0
16,3450.0
340,4850.0
206,3350.0
306,4600.0
32,3300.0
269,5300.0
236,4150.0
239,5350.0
5,3650.0
128,3050.0
37,3550.0
256,4950.0
168,3300.0
263,4750.0
293,5200.0
249,5550.0
144,3000.0
68,3050.0
221,5700.0
141,3475.0
134,3425.0
13,3800.0
70,3600.0
19,4200.0
162,3800.0
45,4600.0
314,4850.0
278,4450.0
222,4450.0
298,4750.0
242,4400.0
213,3650.0
218,4100.0
312,4750.0
258,4350.0
333,5500.0
313,5650.0
276,4300.0
207,3450.0
167,4050.0
49,4150.0
223,5700.0
196,3675.0
266,4200.0
111,4600.0
59,3750.0
1,3800.0
55,3700.0
86,3800.0
211,3525.0
39,4650.0
270,4850.0
97,4350.0
58,2850.0
271,5300.0
248,4600.0
18,3325.0
94,3300.0
280,4200.0
172,3600.0
337,6000.0
140,3400.0
329,5500.0
250,5250.0
60,3150.0
56,3550.0
180,3700.0
195,3500.0
342,5200.0
193,3650.0
175,3800.0
64,2850.0
54,2900.0
241,5000.0
259,5350.0
26,3550.0
166,3575.0
283,5650.0
197,4450.0
301,5450.0
264,5550.0
316,4925.0
155,3525.0
136,3175.0
157,3950.0
105,3550.0
93,4450.0
220,4500.0
127,4300.0
343,5400.0
25,3800.0
194,3550.0
77,3900.0
112,3200.0
277,5000.0
108,3175.0
