Age,Education,Occupation,Relationship,Sex,Target
39,Bachelors,Adm-clerical,Not-in-family,Male,<=50K
50,Bachelors,Exec-managerial,Husband,Male,<=50K
38,HS-grad,Handlers-cleaners,Not-in-family,Male,<=50K
53,11th,Handlers-cleaners,Husband,Male,<=50K
28,Bachelors,Prof-specialty,Wife,Female,<=50K
37,Masters,Exec-managerial,Wife,Female,<=50K
49,9th,Other-service,Not-in-family,Female,<=50K
52,HS-grad,Exec-managerial,Husband,Male,>50K
31,Masters,Prof-specialty,Not-in-family,Female,>50K
42,Bachelors,Exec-managerial,Husband,Male,>50K
37,Some-college,Exec-managerial,Husband,Male,>50K
30,Bachelors,Prof-specialty,Husband,Male,>50K
23,Bachelors,Adm-clerical,Own-child,Female,<=50K
32,Assoc-acdm,Sales,Not-in-family,Male,<=50K
40,Assoc-voc,Craft-repair,Husband,Male,>50K
34,7th-8th,Transport-moving,Husband,Male,<=50K
25,HS-grad,Farming-fishing,Own-child,Male,<=50K
32,HS-grad,Machine-op-inspct,Unmarried,Male,<=50K
38,11th,Sales,Husband,Male,<=50K
43,Masters,Exec-managerial,Unmarried,Female,>50K
40,Doctorate,Prof-specialty,Husband,Male,>50K
54,HS-grad,Other-service,Unmarried,Female,<=50K
35,9th,Farming-fishing,Husband,Male,<=50K
43,11th,Transport-moving,Husband,Male,<=50K
59,HS-grad,Tech-support,Unmarried,Female,<=50K
56,Bachelors,Tech-support,Husband,Male,>50K
19,HS-grad,Craft-repair,Own-child,Male,<=50K
54,Some-college,?,Husband,Male,>50K
39,HS-grad,Exec-managerial,Not-in-family,Male,<=50K
49,HS-grad,Craft-repair,Husband,Male,<=50K
23,Assoc-acdm,Protective-serv,Not-in-family,Male,<=50K
20,Some-college,Sales,Own-child,Male,<=50K
45,Bachelors,Exec-managerial,Own-child,Male,<=50K
30,Some-college,Adm-clerical,Own-child,Male,<=50K
22,Some-college,Other-service,Husband,Male,<=50K
48,11th,Machine-op-inspct,Unmarried,Male,<=50K
21,Some-college,Machine-op-inspct,Own-child,Male,<=50K
19,HS-grad,Adm-clerical,Wife,Female,<=50K
31,Some-college,Sales,Husband,Male,>50K
48,Assoc-acdm,Prof-specialty,Husband,Male,<=50K
31,9th,Machine-op-inspct,Husband,Male,<=50K
53,Bachelors,Prof-specialty,Husband,Male,<=50K
24,Bachelors,Tech-support,Husband,Male,<=50K
49,HS-grad,Adm-clerical,Unmarried,Female,<=50K
25,HS-grad,Handlers-cleaners,Not-in-family,Male,<=50K
57,Bachelors,Prof-specialty,Husband,Male,>50K
53,HS-grad,Machine-op-inspct,Husband,Male,<=50K
44,Masters,Exec-managerial,Unmarried,Female,<=50K
41,Assoc-voc,Craft-repair,Husband,Male,<=50K
29,Assoc-voc,Prof-specialty,Not-in-family,Male,<=50K
25,Some-college,Exec-managerial,Wife,Female,<=50K
18,HS-grad,Other-service,Own-child,Female,<=50K
47,Prof-school,Prof-specialty,Wife,Female,>50K
50,Bachelors,Exec-managerial,Not-in-family,Male,>50K
47,HS-grad,Exec-managerial,Not-in-family,Male,<=50K
43,Some-college,Tech-support,Husband,Male,>50K
46,5th-6th,Machine-op-inspct,Husband,Male,<=50K
35,Assoc-voc,Other-service,Husband,Male,<=50K
41,HS-grad,Adm-clerical,Husband,Male,<=50K
30,HS-grad,Machine-op-inspct,Husband,Male,<=50K
30,Bachelors,Sales,Husband,Male,<=50K
32,7th-8th,?,Not-in-family,Male,<=50K
48,HS-grad,Transport-moving,Husband,Male,<=50K
42,Doctorate,Prof-specialty,Husband,Male,>50K
29,Some-college,Tech-support,Not-in-family,Male,<=50K
36,HS-grad,Craft-repair,Husband,Male,<=50K
28,Some-college,Adm-clerical,Not-in-family,Female,<=50K
53,HS-grad,Adm-clerical,Wife,Female,>50K
49,Some-college,Exec-managerial,Husband,Male,>50K
25,Some-college,?,Own-child,Male,<=50K
19,Some-college,Prof-specialty,Own-child,Male,<=50K
31,Bachelors,Sales,Own-child,Female,<=50K
29,Bachelors,Sales,Husband,Male,>50K
23,Some-college,Machine-op-inspct,Not-in-family,Male,<=50K
79,Some-college,Prof-specialty,Other-relative,Male,<=50K
27,HS-grad,Other-service,Own-child,Male,<=50K
40,Assoc-acdm,Adm-clerical,Husband,Male,<=50K
67,10th,?,Husband,Male,<=50K
18,11th,Other-service,Own-child,Female,<=50K
31,7th-8th,Farming-fishing,Husband,Male,<=50K
18,HS-grad,Sales,Not-in-family,Male,<=50K
52,Bachelors,Other-service,Husband,Male,<=50K
46,HS-grad,Other-service,Wife,Female,<=50K
