,date,Appliances,lights
0,2016-01-11 17:00:00,60,30
1,2016-01-11 17:10:00,60,30
2,2016-01-11 17:20:00,50,30
3,2016-01-11 17:30:00,50,40
4,2016-01-11 17:40:00,60,40
5,2016-01-11 17:50:00,50,40
6,2016-01-11 18:00:00,60,50
7,2016-01-11 18:10:00,60,50
8,2016-01-11 18:20:00,60,40
9,2016-01-11 18:30:00,70,40
10,2016-01-11 18:40:00,230,70
11,2016-01-11 18:50:00,580,60
12,2016-01-11 19:00:00,430,50
13,2016-01-11 19:10:00,250,40
14,2016-01-11 19:20:00,100,10
15,2016-01-11 19:30:00,100,10
16,2016-01-11 19:40:00,90,10
17,2016-01-11 19:50:00,70,30
18,2016-01-11 20:00:00,80,30
19,2016-01-11 20:10:00,140,40
20,2016-01-11 20:20:00,120,20
21,2016-01-11 20:30:00,190,40
22,2016-01-11 20:40:00,110,40
23,2016-01-11 20:50:00,110,40
24,2016-01-11 21:00:00,110,30
25,2016-01-11 21:10:00,110,20
26,2016-01-11 21:20:00,100,30
27,2016-01-11 21:30:00,100,20
28,2016-01-11 21:40:00,100,20
29,2016-01-11 21:50:00,100,20
30,2016-01-11 22:00:00,110,20
31,2016-01-11 22:10:00,400,20
32,2016-01-11 22:20:00,400,20
33,2016-01-11 22:30:00,390,30
34,2016-01-11 22:40:00,240,20
35,2016-01-11 22:50:00,60,20
36,2016-01-11 23:00:00,60,20
37,2016-01-11 23:10:00,60,20
38,2016-01-11 23:20:00,50,10
39,2016-01-11 23:30:00,70,20
40,2016-01-11 23:40:00,60,20
41,2016-01-11 23:50:00,40,20
42,2016-01-12 00:00:00,40,10
43,2016-01-12 00:10:00,30,20
44,2016-01-12 00:20:00,40,20
45,2016-01-12 00:30:00,50,20
46,2016-01-12 00:40:00,310,10
47,2016-01-12 00:50:00,380,20
48,2016-01-12 01:00:00,380,20
49,2016-01-12 01:10:00,370,20
50,2016-01-12 01:20:00,120,10
51,2016-01-12 01:30:00,50,0
52,2016-01-12 01:40:00,40,0
53,2016-01-12 01:50:00,50,0
54,2016-01-12 02:00:00,40,0
55,2016-01-12 02:10:00,50,0
56,2016-01-12 02:20:00,50,0
57,2016-01-12 02:30:00,50,0
58,2016-01-12 02:40:00,40,0
59,2016-01-12 02:50:00,40,0
60,2016-01-12 03:00:00,30,0
61,2016-01-12 03:10:00,20,0
62,2016-01-12 03:20:00,20,0
63,2016-01-12 03:30:00,40,0
64,2016-01-12 03:40:00,50,0
65,2016-01-12 03:50:00,50,0
66,2016-01-12 04:00:00,40,0
67,2016-01-12 04:10:00,50,0
68,2016-01-12 04:20:00,40,0
69,2016-01-12 04:30:00,40,0
70,2016-01-12 04:40:00,40,0
71,2016-01-12 04:50:00,60,0
72,2016-01-12 05:00:00,50,0
73,2016-01-12 05:10:00,50,0
74,2016-01-12 05:20:00,40,0
75,2016-01-12 05:30:00,40,0
76,2016-01-12 05:40:00,40,0
77,2016-01-12 05:50:00,40,0
78,2016-01-12 06:00:00,50,0
79,2016-01-12 06:10:00,70,10
80,2016-01-12 06:20:00,40,0
81,2016-01-12 06:30:00,30,0
82,2016-01-12 06:40:00,20,10
83,2016-01-12 06:50:00,30,0
84,2016-01-12 07:00:00,40,10
85,2016-01-12 07:10:00,50,10
86,2016-01-12 07:20:00,60,20
87,2016-01-12 07:30:00,60,20
88,2016-01-12 07:40:00,70,20
89,2016-01-12 07:50:00,60,30
90,2016-01-12 08:00:00,140,20
91,2016-01-12 08:10:00,110,30
92,2016-01-12 08:20:00,90,10
93,2016-01-12 08:30:00,60,0
94,2016-01-12 08:40:00,60,0
95,2016-01-12 08:50:00,60,0
96,2016-01-12 09:00:00,50,0
97,2016-01-12 09:10:00,60,0
98,2016-01-12 09:20:00,50,0
99,2016-01-12 09:30:00,30,0
100,2016-01-12 09:40:00,40,0
101,2016-01-12 09:50:00,30,0
102,2016-01-12 10:00:00,260,0
103,2016-01-12 10:10:00,500,0
104,2016-01-12 10:20:00,450,0
105,2016-01-12 10:30:00,50,10
106,2016-01-12 10:40:00,60,0
107,2016-01-12 10:50:00,60,0
108,2016-01-12 11:00:00,50,0
109,2016-01-12 11:10:00,50,0
110,2016-01-12 11:20:00,50,0
111,2016-01-12 11:30:00,60,0
112,2016-01-12 11:40:00,60,0
113,2016-01-12 11:50:00,60,0
114,2016-01-12 12:00:00,60,0
115,2016-01-12 12:10:00,190,0
116,2016-01-12 12:20:00,220,0
117,2016-01-12 12:30:00,170,0
118,2016-01-12 12:40:00,390,0
119,2016-01-12 12:50:00,90,0
120,2016-01-12 13:00:00,60,0
121,2016-01-12 13:10:00,290,0
122,2016-01-12 13:20:00,130,0
123,2016-01-12 13:30:00,140,0
124,2016-01-12 13:40:00,240,0
125,2016-01-12 13:50:00,50,0
126,2016-01-12 14:00:00,60,0
127,2016-01-12 14:10:00,60,0
128,2016-01-12 14:20:00,60,0
129,2016-01-12 14:30:00,370,0
130,2016-01-12 14:40:00,200,0
131,2016-01-12 14:50:00,70,0
132,2016-01-12 15:00:00,50,0
133,2016-01-12 15:10:00,40,0
134,2016-01-12 15:20:00,40,0
135,2016-01-12 15:30:00,30,0
136,2016-01-12 15:40:00,30,0
137,2016-01-12 15:50:00,30,0
138,2016-01-12 16:00:00,30,0
139,2016-01-12 16:10:00,40,0
140,2016-01-12 16:20:00,50,0
141,2016-01-12 16:30:00,40,0
142,2016-01-12 16:40:00,40,0
143,2016-01-12 16:50:00,40,0
