body,target
"Noting that the resignation of James Mattis as Secretary of Defense marked the ouster of the third top administration official in less than three weeks, a worried populace told reporters Friday that it was unsure how many former Trump staffers it could safely reabsorb. “Jesus, we can’t just take back these assholes all at once—we need time to process one before we get the next,” said 53-year-old Gregory Birch of Naperville, IL echoing the concerns of 323 million Americans in also noting that the country was only now truly beginning to reintegrate former national security advisor Michael Flynn. “This is just not sustainable. I’d say we can handle maybe one or two more former members of Trump’s inner circle over the remainder of the year, but that’s it. This country has its limits.” The U.S. populace confirmed that they could not handle all of these pieces of shit trying to rejoin society at once.",1
"Desperate to unwind after months of nonstop work investigating Russian influence in the 2016 election, visibly exhausted Special Counsel Robert Mueller powered his phone down Friday in order to give himself a break from any news concerning the probe over the holiday break. “The last thing I want when I’m spending time with my family is a cascade of push notifications telling me yet another Russian oligarch, political operative, or highly placed socialite used Deutsche Bank channels to funnel money to the campaign,” said the former FBI director, firmly holding down his phone’s power button and adding that he wants to be “completely present in the moment” while celebrating with his loved ones, not ruminating about who met with which diplomat or whether someone was using social media to tamper with his witnesses. “I just want to have two calm weeks where I don’t even think about Individual One. I won’t even say his name. I’ll have to wait to hear about any important developments in January, since I just know the second I read, say, something about Eric being involved more deeply than we previously suspected, I’ll get pulled back in and ruin my whole vacation.” At press time, Mueller had reactivated his phone just to check the news real quick. ",1
"Nearly halfway through his presidential term, Donald Trump has continued to exist in a perpetual state of controversy, and 2018 provided no shortage of outrageous moments. The Onion looks back at the most significant events in the Trump presidency in 2018.",1
"Attempting to make amends for gross abuses of power during his time as Interior Department Secretary, an unusually contrite Ryan Zinke apologized Monday for misusing government funds by sending the members of the ethics committee a $160,000 vase. “I know this doesn’t change anything about how I exploited my cabinet position, but I hope you will accept this beautiful example of Qing dynasty porcelain as a small token of my regret,” said Zinke, acknowledging that while no gift could make up for the time he spent $139,000 of taxpayer money to renovate his office doors, he hoped the committee would consider the vase as a sincere gesture of apology. “I was wrong to take advantage of my position, and I hope the lustrous glazing and firing evident in this piece will move you to forgive me for my all-too-human failings. Please don’t remember me as the man who used government funds on security detail for my family while we were on vacation in Turkey, or as the man who violated the Hatch Act and acted as a pawn for the oil and gas industry. Rather, when your eyes happen to fall on this unique example of kaolin clay-work, I hope you will remember me as the man who bought each of you the 2019 Mercedes Benz S560 sedans you’ll find in the parking lot when you leave today.” Zinke further plans to apologize in person to each committee member by visiting them at their homes using a government helicopter.",1
"Decrying the Senate’s resolution blaming the crown prince for the brutal torture and murder of journalist Jamal Khashoggi as “a cruel, inhumane, and unprecedented interference into a sovereign kingdom’s internal affairs,” the Trump administration launched a human rights investigation Monday into the Senate’s harsh treatment of Saudi ruler Mohammad bin Salman. “We are looking into the deeply troubling accusations that the United States Senate has chosen to willfully and knowingly place fault for the murder of a dissident journalist on a Saudi crown prince,” said the president, claiming that no despot should be made to endure such inhumane treatment as the loss of military funding for an ongoing war in Yemen that has left millions homeless and starving, no matter whose dismemberment they may have ordered. “Facing criticism like this on the international stage is, for a powerful leader such as bin Salman, basically torture, and we take this kind of mistreatment very seriously. This is not how Americans treat authoritarian regimes that purchase our weapons. Without billions of dollars in military aid, how is the Saudi regime supposed to maintain its basic standard of living?” The Trump administration is expected to charge all American senators with crimes against humanity for their role in holding the Saudi regime responsible for its actions.",1
"Following sentencing for his role in a hush-money scandal, Michael Cohen was granted a prison work release for a new job with the Trump 2020 campaign, sources confirmed Wednesday. “We’re confident that engaging in honest work will help Mr. Cohen with his rehabilitation,” said warden Pete Clements, telling reporters that having an opportunity to give back to society by serving as an advisor for the 2020 Trump presidential campaign would help Cohen see the error of his past behaviors. “Once he arrives in March, Mr. Cohen will be bused from our penitentiary to Trump’s Manhattan campaign office for an eight-hour work day before returning to prison each night. Mr. Cohen will be under strict supervision during these furloughs, which will allow him to use his skills for the betterment of the community and give him a chance to reintegrate into society.” Clements added that Cohen’s request for a position as the RNC’s 2020 deputy finance chairman had been denied over concerns that the work environment would make it too easy to backslide into criminality. ",1
"Grimacing and clutching at his shoulder, Fox NFL announcer Joe Buck tore his rotator cuff after an awkward throw down to the sideline during the second quarter of the Buccaneers vs. Cowboys game. “You hate to see an announcer go down like that. Especially on such a routine throw down to Erin to check the field conditions. He’s made that throw a thousand times,” said commentator Troy Aikman, adding that Buck went down hard after stumbling over the first few words of the sentence and was still on the ground writhing in pain after the update was over. “You could see something was wrong the second the words left his mouth, it just didn’t look right. He twisted awkwardly as he said ‘on the sideline’ and then this shock of pain crossed his face. This isn’t as bad as when I saw Al Michaels tear his ACL on a touchdown call, but there is no way Joe is going to be announcing for at least a month.” At press time, Aikman was being treated for a concussion after attempting to analyze the play call on a third-down conversion.",1
"Categorically denying allegations that the tactic was unconstitutional and unfairly targeted players who protested the national anthem, NFL commissioner Roger Goodell released a statement Sunday defending the NFL’s right to subject Panthers safety Eric Reid to random stop-and-frisk searches. “We’re simply trying to keep the game clean and provide a safe environment that benefits all our players. In this case, we received an anonymous tip about a suspicious-looking individual with a mask obscuring his face acting aggressively towards our players and decided to inform the proper authorities,” said Goodell at a press conference in which he advised Reid against loitering at the line of scrimmage or other sensitive areas to avoid similar incidents moving forward. “He was described holding an unidentified object in his hands, a description which prompted officials to detain Mr Reid and perform a thorough strip-search. We were all relieved to discover it was just a football, this time, but no single player is above the code of conduct.” Reid and 11 of his teammates are currently being held for questioning on suspicion of gang-related activity after eyewitnesses observed them wearing clothes bearing the same colors and threatening logo.",1
"Quashing rumors that the team was looking to make an early exit for Las Vegas, the Oakland Raiders announced plans Wednesday to play the entirety of their 2019 home schedule in Head Coach Jon Gruden’s backyard. “This is really the perfect venue for this this team—in fact, I think playing in my yard will provide a unique home field advantage like nowhere else in the league,” said Gruden, adding that the proposed half-acre plot nestled in the Bay Area suburbs boasted a beautiful natural surface and enough improvised seating to accommodate dozens of hardcore Raiders faithful. “Make no mistake, this place is going to be rocking. I mean, I can’t wait to see Derek Carr out there delivering touchdown strikes from way up there on the deck. Plus, fans are just going to love the new amenities. We’ve made some room for the the Black Hole over there by the garbage cans. We’ve got 3.5 bathrooms and a crockpot full of chili in the house. Seriously, I don’t think there’s a better way to spend a Sunday.” At press time, several Raiders players admitted that despite the treacherous clothesline and exposed tree roots, playing in Coach Gruden’s backyard was still far preferable to games on a “goddamn baseball field.”",1
"Claiming it was the most humane way to deal with their suffering fans, the Cleveland Browns announced Tuesday that they had euthanized the entirety of the Dawg Pound following a rabies outbreak. “They were a part of our Browns family, and we’re heartbroken over cutting their lives short, but putting them down was the only option,” said team owner Jimmy Haslam, who revealed the Browns’ concern was piqued after several members of the Dawg Pound began chewing on plastic seats and salivating uncontrollably, but that by the time the outbreak was discovered it was too late for any cure to be administered. “We have to put the safety of our fans first. The Dawg Pound may have still seemed fun and approachable, but many were getting aggressive, and it was only a matter of time before they bit someone. It may seem cruel, but their quality of life was never going to be the same—they were battling constant seizures, and the hydrophobia resulting from the rabies was making it impossible for them to drink beer.” Haslam, who emphasized the sadness of the mercy killing, assured fans that they could take comfort in knowing the Dawg Pound would never have to suffer through another Browns’ game again.",1
